name,sid,examples,features,task_type,d_output,context,feature_CATEGORICAL,feature_NUMERIC,feature_TEXT,feature_DATE,feature_BOOLEAN,benchmark_AMLB,benchmark_CTR23,benchmark_GRINSZTAJN,benchmark_MULTIMODAL,benchmark_VECTORIZING,benchmark_CARTE,benchmark_TABZILLA
ada,41156_BIN_ANONYM_ADA,4147,46,⚖️ binary,2,Anonymized Dataset: Ada,0,6,0,0,40,True,False,False,False,False,False,True
albert,41147_BIN_ANONYM_ALBERT,425240,78,⚖️ binary,2,Anonymized Dataset: Albert,13,65,0,0,0,True,False,True,False,False,False,True
APSFailure,41138_BIN_ANONYM_APS_FAILURE,76000,169,⚖️ binary,2,APS Failure,0,168,0,0,1,True,False,False,False,False,False,False
arcene,41157_BIN_ANONYM_ARCENE,100,9920,⚖️ binary,2,Anonym Dataset: Arcene,0,9824,0,0,96,True,False,False,False,False,False,False
Australian,40981_BIN_ANONYM_AUSTRALIAN_CREDIT_APPROVAL,690,14,⚖️ binary,2,Australian Credit Approval,4,6,0,0,4,True,False,False,False,False,False,True
autoUniv-au1-1000,1547_BIN_ANONYM_AUTOUNIV_AU1,1000,20,⚖️ binary,2,Anonymized Dataset: AutoUniv-au1-1000 advanced data generator for classifications tasks,0,0,0,0,20,False,False,False,False,False,False,False
Bioresponse,4134_BIN_ANONYM_BIORESPONSE,3751,1776,⚖️ binary,2,Molecules and their biological response,0,941,0,0,835,True,False,True,False,False,False,True
christine,41142_BIN_ANONYM_CHRISTINE,5418,1611,⚖️ binary,2,Anonymized Dataset: Christine,0,1599,0,0,12,True,False,False,False,False,False,False
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,40650_BIN_ANONYM_GAMETES,1600,20,⚖️ binary,2,Anonymized Gametes dataset,19,0,0,0,1,False,False,False,False,False,False,False
gina,41158_BIN_ANONYM_GINA,3153,970,⚖️ binary,2,Anonymized Dataset: Gina,0,970,0,0,0,True,False,False,False,False,False,False
guillermo,41159_BIN_ANONYM_GUILLERMO,20000,4281,⚖️ binary,2,Anonymized Dataset: Guillermo,0,4280,0,0,1,True,False,False,False,False,False,True
jasmine,41143_BIN_ANONYM_JASMINE,2984,144,⚖️ binary,2,Anonymized Dataset: Jasmine,0,8,0,0,136,True,False,False,False,False,False,True
KDD98,42343_BIN_ANONYM_KDDCUP_98_DIRECT_MAIL,82318,477,⚖️ binary,2,Anonymized KDD98 Direct Mailing for Donation,83,350,15,0,29,False,False,False,False,False,False,False
KDDCup09_appetency,1111_BIN_ANONYM_KDDCUP_09_APPETENCY,50000,207,⚖️ binary,2,CRM data from French Telecom company for product propensity prediction,18,166,12,0,11,True,False,False,False,False,False,False
KDDCup09-Upselling,43072_BIN_ANONYM_KDDCUP_09_UPSELLING,50000,13419,⚖️ binary,2,CRM data from French Telecom company for Upselling,104,7510,13,0,5792,True,False,False,False,False,False,False
madeline,41144_BIN_ANONYM_MADELINE,3140,259,⚖️ binary,2,Anonymized Dataset: Madeline,0,259,0,0,0,True,False,False,False,False,False,False
madelon,1485_BIN_ANONYM_MADELONE,2600,500,⚖️ binary,2,MADELON Data points random in hypercube,0,500,0,0,0,False,False,False,False,False,False,False
mammography,310_BIN_ANONYM_MAMMOGRAPHY,11183,6,⚖️ binary,2,Anonymized: Mammography Results,0,6,0,0,0,False,False,False,False,False,False,False
monks-problems-2,334_BIN_ANONYM_MONKS_PROBLEM_2,601,6,⚖️ binary,2,Anonymized: MONK's Problems: Problem 2,4,0,0,0,2,False,False,False,False,False,False,True
numerai28.6,23517_BIN_ANONYM_NUMERAI_28_6,96320,21,⚖️ binary,2,Encrypted Stock Market Training Data from Numer.ai,0,21,0,0,0,True,False,False,False,False,False,False
oil_spill,311_BIN_ANONYM_OIL_SPILL,937,48,⚖️ binary,2,Anonymized: Oil Spill Dataset,0,47,0,0,1,False,False,False,False,False,False,False
philippine,41145_BIN_ANONYM_PHILIPPINE,5832,308,⚖️ binary,2,Anonymized Dataset: Philippine,0,308,0,0,0,True,False,False,False,False,False,False
porto-seguro,42742_BIN_ANONYM_PORTO_SEGURO,595212,57,⚖️ binary,2,Porto Seguros Safe Driver Prediction,7,27,0,0,23,True,False,False,False,False,False,False
riccardo,41161_BIN_ANONYM_RICARDO,20000,4283,⚖️ binary,2,Anonymized Dataset: Ricardo,0,4283,0,0,0,True,False,False,False,False,False,False
Satellite,40900_BIN_ANONYM_SATELLITE,5100,36,⚖️ binary,2,Anonymized Dataset: Satellite,0,36,0,0,0,True,False,False,False,False,False,False
sylvine,41146_BIN_ANONYM_SYLVINE,5124,20,⚖️ binary,2,Anonymized Dataset: Sylvine,0,20,0,0,0,True,False,False,False,False,False,False
twonorm,1507_BIN_ANONYM_TWONORM,7400,20,⚖️ binary,2,Twonorm experiment: multivariate normal distribution with unit variance,0,20,0,0,0,False,False,False,False,False,False,False
xd6,40693_BIN_ANONYM_XD6,973,9,⚖️ binary,2,Anonymized: Disjunctive Normal Form - XD6,0,0,0,0,9,False,False,False,False,False,False,False
